id,opened,closed,updated,status,resp_agcy,category,req_type,req_details,address,district,neighborhood,point,source,media_url
4743840,5/13/15 23:44,,5/13/15 23:44,Open,RPD NSA Queue,Rec and Park Requests,Park - Neighborhood_Services_Area,Other,"Golden Gate Park, , SAN FRANCISCO, CA, 94122",1,Golden Gate Park,"(37.769059013, -122.4809487)",Web Self Service,
4743839,5/13/15 23:43,,5/13/15 23:44,Open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of ARGUELLO BLVD and EUCLID AVE,2,Presidio Heights,"(37.7838267293763, -122.459044396088)",Voice In,
4743838,5/13/15 23:42,,5/14/15 0:27,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Human Waste,"40 12TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.773708383826, -122.419666469551)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555443fcdf86b54c0784b037/157825.jpg
4743836,5/13/15 23:40,,5/13/15 23:40,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Sidewalk,Residential_totter blocking sidewalk,"40 12TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.773708383826, -122.419666469551)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55544385df86b54c0784b02b/157824.jpg
4743825,5/13/15 23:31,,5/13/15 23:32,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"450 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Castro/Upper Market,"(37.764343734146, -122.429051999028)",Voice In,
4743821,5/13/15 23:28,,5/13/15 23:30,Open,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"160 FUNSTON AVE, SAN FRANCISCO, CA, 94118",1,Inner Richmond,"(37.78520937739, -122.471965946834)",Voice In,
4743816,5/13/15 23:16,,5/13/15 23:25,Open,MUNI Work Queue,MUNI Feedback,MUNI - Conduct_Discourteous_Insensitive_Inappropriate_Conduct,301_Discourtesy_to_Customer,Intersection of CHENERY ST and ROANOKE ST,8,Glen Park,"(37.7355593949985, -122.430245641797)",Voice In,
4743810,5/13/15 23:08,,5/13/15 23:53,Open,DPW Ops Queue,Litter Receptacles,Toters_left_out_24x7,N/A,"1120 19TH ST, SAN FRANCISCO, CA, 94107",10,Potrero Hill,"(37.761563708724, -122.393770366298)",Web Self Service,
4743807,5/13/15 23:04,,5/13/15 23:08,Open,DPH - Environmental Health - G,General Requests,dph - environmental_health - complaint,dph - environmental_health - complaint,"3450 21ST ST, SAN FRANCISCO, CA, 94110",8,Mission,"(37.756797927142, -122.424538757815)",Voice In,
4743804,5/13/15 22:59,,5/13/15 23:02,Open,SFMTA - Parking Enforcement - G,General Requests,mta - parking_enforcement - complaint,mta - parking_enforcement - complaint,"3444 21ST ST, SAN FRANCISCO, CA, 94110",8,Mission,"(37.756950304562, -122.424386657336)",Voice In,
4743800,5/13/15 22:54,,5/13/15 22:54,Open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of 4TH ST and CHANNEL,6,South of Market,"(37.7743275512172, -122.391634004632)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555438c0df86b54c0784b01f/photo_20150513_225500.jpg
4743798,5/13/15 22:54,,5/14/15 3:37,Open,311 Supervisor Queue,Litter Receptacles,Add_remove_garbage_can,N/A,Intersection of HOWARD ST and MAIN ST,6,Financial District,"(37.7906126192417, -122.393407791143)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5554389cdf86b54c0784b013/photo_20150513_224724.jpg
4743777,5/13/15 22:37,,5/13/15 22:38,Open,311 Service Request Queue,Damaged Property,Damaged Traffic_Signal,Traffic_Signal,Intersection of HOWARD ST and NEW MONTGOMERY ST,6,Financial District,"(37.7862096045339, -122.39897706315)",Voice In,
4743767,5/13/15 22:26,,5/13/15 22:27,Open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,"442 TEHAMA ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.780343767729, -122.405450314303)",Voice In,
4743759,5/13/15 22:07,,5/14/15 0:27,Open,DPW BSSR Queue,Street Defects,Pavement_Defect,Pavement_Defect,"830 26TH AVE, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.773780110108, -122.485194136128)",Web Self Service,
4743754,5/13/15 22:02,,5/14/15 0:27,Open,DPW BSSR Queue,Street Defects,Pavement_Defect,Pavement_Defect,"811 26TH AVE, SAN FRANCISCO, CA, 94121",1,Outer Richmond,"(37.774119581697, -122.485516835096)",Web Self Service,
4743753,5/13/15 22:00,,5/13/15 22:04,Open,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"2458 36TH AVE, SAN FRANCISCO, CA, 94116",4,Parkside,"(37.741157695402, -122.493670969656)",Voice In,
4743729,5/13/15 21:44,,5/13/15 21:44,Open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,"449 BUENA VISTA AVE, SAN FRANCISCO, CA, 94117",8,Castro/Upper Market,"(37.766220069318, -122.441481682342)",Web Self Service,
4743724,5/13/15 21:34,,5/13/15 21:34,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,"41 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77101886042, -122.413683169635)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555425e7df86b54c0784aff6/report.jpg
4743711,5/13/15 21:20,,5/13/15 21:20,Open,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of FELL ST and FILLMORE ST,5,Western Addition,"(37.774902690485, -122.431011679186)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/55542292df86b54c0784afe7/report.jpg
4743700,5/13/15 21:08,,5/13/15 21:08,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car2door,grey - Hyundai - Accent - 5BKB274,"1945 8TH AVE, SAN FRANCISCO, CA, 94116",7,West of Twin Peaks,"(37.75188717438, -122.464350953623)",Web Self Service,
4743680,5/13/15 20:54,,5/13/15 20:55,Open,SFMTA - Temporary Sign Request Queue,Temporary Sign Request,Temporary Sign Request for Moving_residential_property,100 ft zone requested from 05/21/2015 to 05/22/2015,"4037 25TH ST, SAN FRANCISCO, CA, 94114",8,Noe Valley,"(37.749791505472, -122.430379594859)",Voice In,
4743677,5/13/15 20:53,,5/13/15 20:53,Open,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle -,WHITE - Volkswagen - GOLF - 4YTW789,"1595 TREAT AVE, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.745758363602, -122.412305546737)",Web Self Service,
4743663,5/13/15 20:48,,5/13/15 20:49,Open,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of MANSELL ST and SAN BRUNO AVE,9,Visitacion Valley,"(37.7215343139683, -122.401074024586)",Voice In,
4743662,5/13/15 20:47,,5/13/15 20:53,Open,Rent Board - G,Residential Building Request,Building - Visitor_Policy_Violations,Visitor_Policy_Violations,"126 FILLMORE ST, SAN FRANCISCO, CA, 94117",5,Western Addition,"(37.770661644086, -122.429894959639)",Voice In,
4743659,5/13/15 20:45,,5/13/15 20:47,Open,PG and E - Streetlights Queue,Streetlights,Streetlight - Light_Flickering_On_Off,Light_Flickering_On_Off on Wooden Pole,"101 JARBOE AVE, SAN FRANCISCO, CA, 94110",9,Bernal Heights,"(37.738527575501, -122.415706565732)",Voice In,
4743652,5/13/15 20:42,,5/13/15 20:42,Open,DPW BSM Queue,Blocked Street or SideWalk,Blocked_Parking_Space_or_Strip,Dumpster blocking parking space,"41 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,"(37.77101886042, -122.413683169635)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/555419b3df86b54c0784afd2/report.jpg
