Facility Name,address,city,state,zip,pass fail,score
ORIENTAL GARDEN RESTAURANT,2895 S BASCOM AV,CAMPBELL,CA,95008,Pass,88
CAKE WORKS THE,2891 S BASCOM AV,CAMPBELL,CA,95008,Pass,98
FIESTA TAQUERIA,2591 S BASCOM AV,CAMPBELL,CA,95008,Pass,92
RESIDENCE INN BY MARRIOTT,2761 S BASCOM AV,CAMPBELL,CA,95008,Pass,83
GRILL EM,2509 S BASCOM AV,CAMPBELL,CA,95008,Pass,93
KIRKS STEAK BURGERS INC,2388 S BASCOM AV,CAMPBELL,CA,95008,Pass,98
AL CASTELLO RISTORANTE,3155 S BASCOM AV,CAMPBELL,CA,95008,Pass,90
SUBWAY SANDWICH & SALAD,3481 S BASCOM AV,CAMPBELL,CA,95008,Pass*,92*
CHEZ SOVAN,2425 S BASCOM AV,CAMPBELL,CA,95008,Pass,85
MAGOO'S PIZZA,2360 S BASCOM AV,CAMPBELL,CA,95008,Pass,79
BEST TASTE RESTAURANT,2360 S BASCOM AV,CAMPBELL,CA,95008,Pass,84
PUPUSERIA LOS DUBON,1546 CAMDEN AV,CAMPBELL,CA,95008,Pass,86
SUBWAY SANDWICHES,2236 BASCOM AV,CAMPBELL,CA,95008,Pass,95
TACO BELL #30797,1450 CAMDEN AV,CAMPBELL,CA,95008,Pass,92
7-ELEVEN FOOD STORE #2367-14298E,2223 S BASCOM AV,CAMPBELL,CA,95008,Pass,91
YIASSOO #1,2180 S BASCOM AV,CAMPBELL,CA,95008,Pass,95
SUBWAY SANDWICH & SALADS,1410 CAMDEN AV,CAMPBELL,CA,95008,Pass,93
GOODIES GOOD EATS,2201 S BASCOM AV,CAMPBELL,CA,95008,Pass,90
LHCF - CAMDEN CONVALESCENT HOSPITAL,1331 CAMDEN AV,CAMPBELL,CA,95008,Pass*,96*
MR PICKLE'S SANDWICH SHOP,2080 S BASCOM AV,CAMPBELL,CA,95008,Pass,97
DENNY'S #7416,2060 S BASCOM AV,CAMPBELL,CA,95008,Pass,93
THE LUXURY BOX,2089 S BASCOM AV,CAMPBELL,CA,95008,Pass,92
LHCF - CHILDREN'S RECOVERY CTR,3777 S BASCOM AV,CAMPBELL,CA,95008,Pass*,100*
BAJA FRESH #127,1976 S BASCOM AV,CAMPBELL,CA,95008,Pass,98
JACK IN THE BOX #426-1,1301 CAMDEN AV,CAMPBELL,CA,95008,Pass,98
THE ORIGINAL HICK'RY PIT,980 E CAMPBELL AV,CAMPBELL,CA,95008,Pass*,95*
WIENERSCHNITZEL #170,1940 S BASCOM AV,CAMPBELL,CA,95008,Pass,88
TACO BRAVO,1950 S BASCOM AV,CAMPBELL,CA,95008,Pass,82
ORCHARD CITY KITCHEN,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,97
LITTLE WINE COUNTER,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass*,100*
STARBUCKS COFFEE #6931,1228 CAMDEN AV,CAMPBELL,CA,95008,Pass,98
PATXI'S CHICAGO PIZZA,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,86
THAI ORCHID,866 E CAMPBELL AV,CAMPBELL,CA,95008,Conditional Pass*,80*
LE BOULANGER #16,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,97
LISA'S TEA TREASURES,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,96
ROCK BOTTOM BREWERY,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,93
TOGO'S EATERY,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,100
BUCA DI BEPPO,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,62
COLD STONE CREAMERY #209,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,100
COFFEE SOCIETY @ THE PRUNEYARD,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,92
SUGAR BUTTER FLOUR,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,84
KYOTO PALACE,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,83
CAMERA 7,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,94
CAFE ARTEMIS,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,86
PIZZA MY HEART,1875 S BASCOM AV,CAMPBELL,CA,95008,Pass,100
BAREFOOT COFFEE SHOP,1819 S BASCOM AV,CAMPBELL,CA,95008,Pass,98
CHIPOTLE MEXICAN GRILL,1815 S BASCOM AV,CAMPBELL,CA,95008,Pass,97
YOGURTLAND,1790 S BASCOM AV,CAMPBELL,CA,95008,Pass,95
HOUSE OF BAGELS OF CAMPBELL,1640 S BASCOM AV,CAMPBELL,CA,95008,Pass,88
UNA MAS #7,1640 S BASCOM AV,CAMPBELL,CA,95008,Pass,100
DOUBLE TREE BY HILTON CAMPBELL-PRUNEYARD PLAZA-KITCHEN,1995 S BASCOM AV,CAMPBELL,CA,95008,Pass,93
JACK IN THE BOX #411,1737 S BASCOM AV,CAMPBELL,CA,95008,Pass,95
ERIK'S DELI CAFE,1777 S BASCOM AV,CAMPBELL,CA,95008,Pass,100
THE GARRETT,1777 S BASCOM AV,CAMPBELL,CA,95008,Pass,98
STARBUCK'S COFFEE #534,1696 S BASCOM AV,CAMPBELL,CA,95008,Pass,96
KIKKA,1690 S BASCOM AV,CAMPBELL,CA,95008,Pass,100
WHOLE FOODS MARKET-#47-DELI,1690 S BASCOM AV,CAMPBELL,CA,95008,Pass,98
WHOLE FOODS MARKET-#47-BAKERY,1690 S BASCOM AV,CAMPBELL,CA,95008,Pass,91
COURTYARD BY MARRIOTT SAN JOSE CAMP,655 CREEKSIDE WY,CAMPBELL,CA,95008,Pass,98
CAMPBELL INN,675 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,95
ANDRO'S ROSTILJ,1506 DELL AV,CAMPBELL,CA,95008,Pass*,89*
NOT JUST CHEESECAKES,653 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,100
HOOTERS OF CAMPBELL,1555 S BASCOM AV,CAMPBELL,CA,95008,Pass,78
JILLBEE DELIVERS,184 E SUNNYOAKS AV,CAMPBELL,CA,95008,Pass,97
SWEET DELI,186 E SUNNYOAKS AV,CAMPBELL,CA,95008,Pass,86
HENRY'S JALISCO,525 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,91
CAMPBELL LIQUORS & DELI,479 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,93
SUNNYOAK VALERO,2855 WINCHESTER BL,CAMPBELL,CA,95008,Pass,94
HALEH PASTRY SHOP,2265 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,90
BLUE LINE PIZZA,415 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,93
JACKY BOY'S PIZZA,3393 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,88
RICO'S TACOS,2523 WINCHESTER BL,CAMPBELL,CA,95008,Pass,97
LITTLE LOU'S BBQ,2455 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,83
NASCHMARKT RESTAURANT,384 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,95
ST LUCY PARISH ANNEX,2350 WINCHESTER BL,CAMPBELL,CA,95008,Pass,100
A BELLAGIO,33 S CENTRAL AV,CAMPBELL,CA,95008,Pass,80
KATIE BLOOMS,369 E CAMPBELL AV,CAMPBELL,CA,95008,Pass*,74*
CAMPBELL PLAZA THEATRES INC 2 &,2501 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,97
LUIGI'S,2495 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,90
ORCHARD VALLEY COFFEE ROASTERY,349 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,92
STEEPERS,346 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,87
MO'S TBJ,278 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,87
7-ELEVEN #2367-17406C,2335 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,97
YODO YOGURT,2475 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,93
AFC SUSHI @ SAFEWAY #1293,2341 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,100
CAMPBELL UNION FOOD SERVICE WAREHOU,240 N HARRISON AV,CAMPBELL,CA,95008,Pass,94
DAIRY QUEEN,2255 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,100
SONOMA CHICKEN COOP,200 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,71
COACH'S SPORTS BAR & GRILL,2240 S WINCHESTER BL,CAMPBELL,CA,95008,Pass*,89*
LA PANOTIQ,175 E CAMPBELL AV,CAMPBELL,CA,95008,Pass*,93*
AQUI CAL MEX,201 E CAMPBELL AV,CAMPBELL,CA,95008,Pass*,84*
FROST CUPCAKE FACTORY,199 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,90
PANERA BREAD BAKERY CAFE,501 E HAMILTON AV,CAMPBELL,CA,95008,Pass,82
VILLAGE ELEMENTARY SCHOOL,825 W PARR AV,CAMPBELL,CA,95008,Pass,100
STACKS,139 E CAMPBELL AV,CAMPBELL,CA,95008,Pass*,84*
ELEPHANT BAR RESTAURANT,499 E HAMILTON AV,CAMPBELL,CA,95008,Pass*,95*
TOWNPLACE SUITES BY MARRIOTT,700 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,100
BLUE SKY RESTAURANT,2028 S WINCHESTER BL,CAMPBELL,CA,95008,Pass*,85*
CAPRI SCHOOL,1280 CHAPMAN AV,CAMPBELL,CA,95008,Pass,100
ARCO AMPM,2015 S WINCHESTER BL,CAMPBELL,CA,95008,Pass,84
CAMPBELL NUTRITION CENTER,1 W CAMPBELL AV,CAMPBELL,CA,95008,Pass*,100*
STARBUCKS COFFEE #11440,330 E HAMILTON AV,CAMPBELL,CA,95008,Pass,100
SUBWAY #37149,330 E HAMILTON AV,CAMPBELL,CA,95008,Pass,97
MOUNTAIN MIKE'S PIZZA,301 E HAMILTON AV,CAMPBELL,CA,95008,Pass,86
CAMPBELL MIDDLE SCHOOL,295 CHERRY LN,CAMPBELL,CA,95008,Pass,100
SCHOOL CATERERS @ CANYON HEIGHTS AC,775 WALDO RD,CAMPBELL,CA,95008,Pass,100
LIQUID BREAD GASTROPUB,379 E CAMPBELL AV,CAMPBELL,CA,95008,Pass,100
BURGER KING #2012,49 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,98*
CASTLEMONT ELEMENTARY SCHOOL,3040 PAYNE AV,CAMPBELL,CA,95008,Pass,97
LHCF - GREENHILLS MANOR,238 VIRGINIA AV,CAMPBELL,CA,95008,Pass,95
ROSEMARY SCHOOL,401 W HAMILTON AV,CAMPBELL,CA,95008,Pass,90
FRENCH CULINARY INSTITUTE,700 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,95*
FRENCH CULINARY INSTITUTE-EVENTS,700 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,87*
ROUND TABLE PIZZA,1400 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,100
PEETS COFFEE,1602 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,97
AFC SUSHI @ NOB HILL #606,1602 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,100
NOB HILL FOODS #606-DELI,1602 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,100
NOB HILL FOODS #606-BAKERY,1602 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,95
DEL TACO #264,771 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,88*
NEGEEN RESTAURANT,801 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,78*
MULU'S ETHIOPIAN RESTAURANT,836 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,91*
AFC SUSHI @SAFEWAY #3241,950 W HAMILTON AV,CAMPBELL,CA,95008,Pass,100
HASH HOUSE,851 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,78*
SUBWAY SANDWICHES #3069,882 W HAMILTON AV,CAMPBELL,CA,95008,Pass,90
CITY PIZZA,888 W HAMILTON AV,CAMPBELL,CA,95008,Pass,92
RICE + NOODLES ASIAN KITCHEN,930 W HAMILTON AV,CAMPBELL,CA,95008,Pass,97
SAFEWAY-STAR BUCKS,950 W HAMILTON AV,CAMPBELL,CA,95008,Pass,98
SAFEWAY-DELI,950 W HAMILTON AV,CAMPBELL,CA,95008,Pass,93
NEW JERSEY'S,923 W HAMILTON AV,CAMPBELL,CA,95008,Pass*,75*
WESTMONT HIGH SCHOOL,4805 WESTMONT AV,CAMPBELL,CA,95008,Pass,98
FOREST HILL SCHOOL,4450 MC COY AV,CAMPBELL,CA,95008,Pass,97
JACK IN THE BOX #412,1450 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,98
SUBWAY #44821,75 S SAN TOMAS AQUINO RD,CAMPBELL,CA,95008,Pass,100
DELICIOUS DONUTS & DELI,152 N SAN TOMAS AQUINO RD,CAMPBELL,CA,95008,Pass,76
FURU SATO JAPANESE RESTAURANT,1651 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,83
KWENCH CORP.,1712 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,95
ARCO AM PM MARKET,1860 W CAMPBELL AV,CAMPBELL,CA,95008,Pass,85
Blue Pheasant Restaurant,22100 Stevens Creek Bl,Cupertino,CA,95014,Fail,
Homestead Family Fun Center,20990 Homestead Rd ,Cupertino,CA,95014,Fail,
Homestead Family Fun Center,20990 Homestead Rd ,Cupertino,CA,95014,Fail,
J & J Hawaiian BBQ,20950 Stevens Creek Bl ,Cupertino,CA,95014,Fail,
Venus Tam's Café,20956 Homestead Rd,Cupertino,CA,95014,Fail,
Village Falafel,20010 Stevens Creek Bl,Cupertino,CA,95014,Fail,
HYDE JUNIOR HIGH SCHOOL,19325 BOLLINGER RD,CUPERTINO,CA,95014,Pass,96,,
VIVA THAI BISTRO,19058 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,96*,"Oct. 10, 2014","Oct. 11, 2014"
SEDGWICK SCHOOL,19200 PHIL LN,CUPERTINO,CA,95014,Pass,98,"Jan. 14, 2015",
JOY PALACE,19066 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,94,"Nov. 26, 2014","Nov. 28, 2014"
BETHEL LUTHERAN CHURCH/SCHOOL,10181 FINCH AV,CUPERTINO,CA,95014,Pass,97,"Dec. 05, 2014","Dec. 08, 2014"
CUPERTINO HIGH SCHOOL,10100 FINCH AV,CUPERTINO,CA,95014,Pass,87,"Aug. 20, 2014","Aug. 21, 2014"
COACH HOUSE WINE & LIQUORS,1655 S DE ANZA BL,CUPERTINO,CA,95014,Pass,95,"Dec. 17, 2014","Sept. 17, 2014"
BEIJING DUCK HOUSE,10883 S BLANEY AV,CUPERTINO,CA,95014,Pass,83,,
JACK IN THE BOX #490,1451 S DE ANZA BL,CUPERTINO,CA,95014,Pass,92,,
AZUMA,19645 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,88*,,
HOUSE OF FALAFEL,19590 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,71*,,
SURF CITY SQUEEZE,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass*,93*,,
CALIFORNIA FRESH,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,73,,
DYNASTY SEAFOOD RESTAURANT,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,72,,
SPRING RICE & CRAWFISH,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,67,,
BURGER KING,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,94,,
TERIYAKI EXPERIENCE,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,90
AMC CUPERTINO 16 THEATRES,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass*,86*
CINNABON,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,98
WINGSTOP #503,19620 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,92*
KONG TOFU & BBQ,19626 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,75
POTSTICKER KING,19634 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,78
ERIK'S DELI CAFE,19652 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,96
ONE POT SHABU SHABU,19648 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,98
OLARN THAI CUISINE,19672 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,92
GRAIN D'OR-VALLCO,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,86
VEGGIE LAND,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,65
YOGURTLAND CUPERTINO,19700 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,96
AUTHENTIC FRESH MEX GRILL,10123 N WOLFE RD,CUPERTINO,CA,95014,Pass,89
MCHART'S PIZZA & GRILL,19732 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,98
BEARD PAPA'S CUPERTINO,19748 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,84*
HARUMI SUSHI,19754 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,78*
LIANG'S KITCHEN CUISINE,19772 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,78
FRESH GRIND COFFEE HOUSE,19622 STEVENSCREEK BL,CUPERTINO,CA,95014,Pass,75
ELEPHANT BAR,19780 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,92*
L'EPI D'OR BAKERY,19675 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass*,76*
LA PATISSERIE,19758 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,82
EATON SCHOOL-CAFETERIA,20220 SUISUN DR,CUPERTINO,CA,95014,Pass,100
TPUMPS,19959 STEVENS CREEK BL,CUPERTINO,CA,95014,Pass,82
